Module	Section	Sample Name	Source
FastQC	all_sections	SRR14483580_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483580_2_fastqc.zip
FastQC	all_sections	SRR14483580_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483580_1_fastqc.zip
FastQC	all_sections	SRR14483578_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483578_2_fastqc.zip
FastQC	all_sections	SRR14483578_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483578_1_fastqc.zip
FastQC	all_sections	SRR14483578_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483578_2_paired_fastqc.zip
FastQC	all_sections	SRR14483578_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483578_1_paired_fastqc.zip
FastQC	all_sections	SRR14483579_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483579_1_paired_fastqc.zip
FastQC	all_sections	SRR14483579_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483579_2_paired_fastqc.zip
FastQC	all_sections	SRR14483580_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483580_1_paired_fastqc.zip
FastQC	all_sections	SRR14483580_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Skin/SRR14483580_2_paired_fastqc.zip
FastQC	all_sections	SRR29317041_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Emydura_macquarii_macquarii/Liver/SRR29317041_2_fastqc.zip
FastQC	all_sections	SRR29317041_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Emydura_macquarii_macquarii/Liver/SRR29317041_1_fastqc.zip
FastQC	all_sections	SRR29317039_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Emydura_macquarii_macquarii/Gonads/SRR29317039_1_fastqc.zip
FastQC	all_sections	SRR29317039_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Emydura_macquarii_macquarii/Gonads/SRR29317039_2_fastqc.zip
