Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR26583189_1										32.153019398367796	7.644339416933373	7.98922590483035	1.0506426893702934	0.5638131457176665	0.017999049083922594	0.06976977061526705
SRR26583189_2										32.037101996887216	4.787815436633476	4.217758601690272	0.39549223774385617	0.15731685179939375	0.01068413239080208	0.08632480015775074
SRR26583191_1										19.667367984261876	6.114190360394636	14.659477511830715	6.109627968576641	10.71304399321221	2.8906982052216694	2.6581782022641764
SRR26583191_2										18.440483336649898	6.191938070814975	15.569063656200607	6.002505711243073	9.498458164073446	1.8902999062092731	0.8530800486466051
SRR27194003_1										24.294796364822474	5.668314766478969	10.805966561079568	3.6154407861027282	5.583190683947625	0.6044295496493476	0.3539384065232448
SRR27194003_2										24.12125567984269	5.362887599160948	10.301560799327984	3.6622465233248698	3.8117503481767567	0.17037869229886363	0.21103020911300507
SRR27194004_1										23.10339973930314	5.849225062764429	11.951924154592088	4.456430349539167	6.616335166368399	0.8312067159159671	0.5440625776904512
SRR27194004_2										22.94177106297274	5.961434337918961	12.492357188514854	4.5007846213625795	4.101290320738281	0.1785156710614156	0.5164931546345645
SRR29317039_1										32.34024420212123	4.738102754620495	6.983850443575144	2.300907304290797	3.376171378287933	0.7449936110644981	0.0
SRR29317039_2										33.57794884236734	5.018516265639337	6.570131224189655	2.584509219347568	5.460877928209654	1.5194556111298407	0.5758406871604967
SRR29317041_1										26.649537526367105	5.329895369269035	13.72796379045624	6.708316364239576	10.321436057413717	1.63507891924731	0.2822133245697287
SRR29317041_2										22.2532228646639	4.186943801796619	13.271693865803332	7.858564224551593	14.871630480191236	2.8606103727527246	1.3799115263676225
SRR30844226_1										16.600302866847663	5.20765277130603	13.147830600841834	6.28839077957147	15.079916595097947	6.273415553300427	12.315880342163325
SRR30844226_2										15.219903916470573	5.198879570031409	13.881413458697475	6.3671803468642345	14.252249207869436	4.489812565437583	3.4579123887792163
SRR30844227_1										31.928251093592085	8.135664930787831	8.831095084191878	1.3311402282584948	1.222954149299763	0.08525448583571789	0.032664158094605905
SRR30844227_2										24.226241861533033	3.070636858785697	2.7103461061149723	0.4061875545489617	0.2504210976918669	0.010992329484272187	0.0
SRR33450572_1										16.442625180977387	5.473457550428068	15.102793534137312	7.843460103063425	17.786316769144143	4.7628957993949586	4.004565327941581
SRR33450572_2										15.803755410922877	5.478767892533121	16.20052525046316	8.679931758013762	18.401193796553585	4.276953643760812	3.2432945134773723
SRR6662598_1										23.63614412484398	7.377714724844196	13.134962983290349	3.824120197596242	7.216395777022436	2.7063786756415005	3.9335837561240554
SRR6662598_2										24.17635386296439	6.438855810316575	10.585331941056038	3.002088566528904	5.425147613422362	2.024537410304119	3.7016386109982693
SRR6662600_1										27.579071898913877	7.387099864083401	11.118366053259829	2.4530600312930217	2.4698123484991856	0.26450000610596225	0.1379858679790718
SRR6662600_2										27.205641503717366	5.792502351994705	7.2527326441883755	1.2337130471878608	0.8850965034944107	0.2888811453218025	0.06363287014409454
SRR8468522_1										27.584842215027468	2.4958679502183547	1.8934202682153531	0.26313488880147295	0.187042951429586	0.0773078402464662	0.0
SRR8468522_2										27.38169801649969	2.4745949428417218	1.9236071120935796	0.2683858123125668	0.18501801454876363	0.060183141186657255	0.0
SRR869504_1										13.023290768434917	7.042312037369077	7.400685225033693	0.04643510916100822	0.0723123900270594	0.05257143496165065	0.21649730944822196
SRR869504_2										12.405844044215456	6.942333867425278	6.7579125921164485	0.04439390872151121	0.11088802680665438	0.0	0.40000089265592376
SRR9596698										21.817258825570914	4.172541677051289	6.616346071890396	1.718109188783058	1.7234345352989806	0.10670901221740847	0.1654401356122599
SRR9596699										19.740590062743532	2.756716443191053	4.316897449949234	1.3951928938562712	1.6114426989023778	0.08579105012113497	0.2665952652186354
SRR9596707										16.504838893267692	6.051048520612986	14.830511083595146	6.347557170003193	10.998750857613397	2.7374421723265243	3.0258590870651214
SRR9596713										21.59061066789881	2.7999410252479713	3.8998232180598884	0.9494537949394425	0.7409928636098279	0.0	1.2170524589146647
