gene_id,SRR29040880,SRR29040882
gene-SUSD2|SUSD2,0,0
gene-AKAP9|AKAP9,11261,21612
gene-LOC134399181|LOC134399181,152,698
gene-LOC134399188|LOC134399188,174,656
gene-CLDN12|CLDN12,319,111
gene-FAM237B|FAM237B,39,0
gene-GTPBP10|GTPBP10,125,101
gene-LOC134413456|LOC134413456,0,0
gene-CDK14|CDK14,2832,142
gene-CFAP69|CFAP69,699,4224
gene-STEAP2|STEAP2,48,14
gene-LOC134413365|LOC134413365,13,1
gene-STEAP1|STEAP1,817,94
gene-LOC134413385|LOC134413385,45,89
gene-STEAP4|STEAP4,54,76
gene-ZNF804B|ZNF804B,0,7
gene-SRI|SRI,2724,8095
gene-ADAM22|ADAM22,665,77
gene-SLC25A40|SLC25A40,251,42
gene-DBF4|DBF4,4090,343
gene-RUNDC3B|RUNDC3B,990,30
gene-ABCB1|ABCB1,4333,655
gene-CROT|CROT,4330,1548
gene-ACBD7|ACBD7,465,0
gene-RPP38|RPP38,379,54
gene-NMT2|NMT2,11339,1021
gene-FAM171A1|FAM171A1,1782,285
gene-ITGA8|ITGA8,811,2282
gene-MINDY3|MINDY3,2633,780
gene-C1QL3|C1QL3,0,58
gene-PTER|PTER,1394,352
gene-RSU1|RSU1,1386,1107
gene-CUBN|CUBN,156,99
gene-TRDMT1|TRDMT1,541,211
gene-HACD1|HACD1,0,70
gene-ST8SIA6|ST8SIA6,23,0
gene-VIM|VIM,55176,30091
gene-LOC134394942|LOC134394942,0,0
gene-LOC134399415|LOC134399415,317,294
gene-STAM|STAM,3453,916
gene-LOC134395016|LOC134395016,0,0
gene-LOC134395082|LOC134395082,0,0
gene-SLC39A12|SLC39A12,113,24
gene-ARL5B|ARL5B,118,117
gene-NSUN6|NSUN6,271,126
gene-CACNB2|CACNB2,4695,2180
gene-MALRD1|MALRD1,78,0
gene-PLXDC2|PLXDC2,270,283
gene-SKIDA1|SKIDA1,20,7
gene-LOC134399692|LOC134399692,473,3400
gene-LOC134413449|LOC134413449,0,0
gene-LOC134399619|LOC134399619,28,5087
gene-MLLT10|MLLT10,3597,837
gene-DNAJC1|DNAJC1,5508,2157
gene-COMMD3|COMMD3,716,885
gene-BMI1|BMI1,180,1091
gene-SPAG6|SPAG6,3632,1006
gene-MSRB2|MSRB2,0,12
gene-C1H10orf67|C1H10orf67,0,0
gene-ARMC3|ARMC3,1000,1576
gene-PIP4K2A|PIP4K2A,8191,253
gene-OTUD1|OTUD1,1574,935
gene-KIAA1217|KIAA1217,5541,1846
gene-PRTFDC1|PRTFDC1,36,73
gene-ENKUR|ENKUR,203,2618
gene-ARHGAP21|ARHGAP21,3309,1561
gene-THNSL1|THNSL1,1682,129
gene-GPR158|GPR158,689,14
gene-GAD2|GAD2,55,0
gene-MYO3A|MYO3A,944,0
gene-APBB1IP|APBB1IP,697,33
gene-LOC134399790|LOC134399790,128,177
gene-LOC134413496|LOC134413496,0,0
gene-ACBD5|ACBD5,370,162
gene-ABI1|ABI1,11724,3982
gene-PDSS1|PDSS1,472,333
gene-MASTL|MASTL,2416,21
gene-LOC134395306|LOC134395306,0,10
gene-LOC134395405|LOC134395405,0,0
gene-LOC134399949|LOC134399949,56,22
gene-YME1L1|YME1L1,13239,3227
gene-SLC4A7|SLC4A7,3070,759
gene-LRRC3B|LRRC3B,263,120
gene-NEK10|NEK10,3266,2336
gene-OXSM|OXSM,761,79
gene-NGLY1|NGLY1,494,380
gene-RARB|RARB,78,754
gene-TOP2B|TOP2B,2067,3652
gene-THRB|THRB,319,119
gene-NR1D2|NR1D2,1126,229
gene-NKIRAS1|NKIRAS1,204,13
gene-RPL15|RPL15,4424,11371
gene-LOC134400052|LOC134400052,3968,3209
gene-LOC134400046|LOC134400046,6417,1299
gene-ZNF385D|ZNF385D,460,264
gene-LOC134413636|LOC134413636,1981,0
