gene_id,SRR28919955,SRR28919960,SRR28919961,SRR28919962,SRR28919963,SRR28919964
gene-LOC128341425|LOC128341425,0,0,0,0,0,0
gene-DISP2|DISP2,3,0,0,0,0,3
gene-IVD|IVD,0,0,0,0,0,0
gene-CCDC32|CCDC32,0,0,0,0,0,0
gene-LOC128328881|LOC128328881,0,0,0,0,0,0
gene-RAD51|RAD51,0,0,0,0,0,0
gene-VPS18|VPS18,0,0,0,0,0,0
gene-DNAJC17|DNAJC17,0,0,0,0,0,0
gene-C1H15orf62|C1H15orf62,0,0,0,0,0,0
gene-LOC128352112|LOC128352112,0,0,0,0,0,0
gene-BAHD1|BAHD1,76,27,22,98,634,114
gene-KNL1|KNL1,0,0,0,0,0,0
gene-LOC128328092|LOC128328092,0,0,0,0,0,0
gene-LOC128339492|LOC128339492,0,0,0,0,0,0
gene-DLL4|DLL4,4,0,4,5,57,13
gene-CHP1|CHP1,72,27,19,182,0,63
gene-LOC128340563|LOC128340563,50,41,27,12,15,44
gene-OIP5|OIP5,0,0,0,0,0,0
gene-INO80|INO80,78,52,47,132,541,115
gene-LOC128340564|LOC128340564,0,1,0,0,10,5
gene-RTF1|RTF1,158,83,66,111,709,487
gene-ITPKA|ITPKA,0,0,0,0,0,0
gene-JMJD7|JMJD7,0,0,0,0,0,0
gene-RYR3|RYR3,0,0,0,0,0,31
gene-LOC128338325|LOC128338325,0,0,0,0,0,0
gene-LOC128338341|LOC128338341,0,0,0,0,0,0
gene-LOC128338322|LOC128338322,0,0,0,0,0,0
gene-VPS39|VPS39,0,0,0,0,0,0
gene-SPTBN5|SPTBN5,0,0,0,0,0,0
gene-MAPKBP1|MAPKBP1,0,0,0,0,0,0
gene-EHD4|EHD4,0,0,0,0,0,0
gene-LOC128333058|LOC128333058,0,0,0,0,0,0
gene-LOC128333080|LOC128333080,0,0,0,0,0,0
gene-LOC128335579|LOC128335579,0,0,0,0,0,0
gene-TMEM87A|TMEM87A,0,0,0,0,0,0
gene-TYRO3|TYRO3,30,0,0,0,0,0
gene-LRRC57|LRRC57,0,0,0,4,0,0
gene-HAUS2|HAUS2,0,0,0,0,0,0
gene-ZNF106|ZNF106,0,0,0,0,0,0
gene-LOC128340918|LOC128340918,0,0,0,0,0,0
gene-SNAP23|SNAP23,0,0,0,0,0,0
gene-DNAL1|DNAL1,15,0,0,0,0,0
gene-TTBK2|TTBK2,25,0,0,7,65,480
gene-STARD9|STARD9,0,0,0,0,0,6
gene-LOC128340605|LOC128340605,0,0,0,0,0,0
gene-CDAN1|CDAN1,0,0,0,0,0,0
gene-LOC128340603|LOC128340603,0,0,0,0,0,0
gene-UBR1|UBR1,0,0,0,0,0,0
gene-LOC128340675|LOC128340675,0,0,0,0,0,0
gene-MIDEAS|MIDEAS,0,0,0,0,0,0
gene-LOC128339587|LOC128339587,0,0,0,0,0,0
gene-PSEN1|PSEN1,0,0,0,0,140,0
gene-NUMB|NUMB,23,18,11,0,184,119
gene-TRNAA-UGC-2|TRNAA-UGC,0,0,0,0,0,0
gene-DCAF4|DCAF4,0,0,0,0,0,0
gene-ZFYVE1|ZFYVE1,0,3,0,0,47,0
gene-RBM25|RBM25,1049,365,210,242,2733,5699
gene-DPF3|DPF3,43,21,21,18,40,252
gene-RGS6|RGS6,0,0,0,0,44,0
gene-LOC128328324|LOC128328324,0,0,0,0,0,0
gene-SIPA1L1|SIPA1L1,145,36,66,164,1331,245
gene-LOC128352853|LOC128352853,0,0,0,0,0,0
gene-LOC128351549|LOC128351549,0,0,0,0,0,0
gene-MED6|MED6,0,0,0,0,0,0
gene-TTC9|TTC9,0,0,0,0,22,0
gene-MAP3K9|MAP3K9,37,0,0,24,131,192
gene-LOC128333004|LOC128333004,0,0,0,0,0,0
gene-PCNX1|PCNX1,51,68,44,102,269,37
gene-LOC128340022|LOC128340022,0,0,0,0,0,0
gene-LOC128327937|LOC128327937,0,0,0,0,0,0
gene-SMOC1|SMOC1,0,23,19,0,24,0
gene-SLC8A3|SLC8A3,0,0,0,0,21,12
gene-PLEKHD1|PLEKHD1,0,0,0,0,0,0
gene-SUSD6|SUSD6,0,0,2,0,0,0
gene-SLC39A9|SLC39A9,0,0,0,0,31,0
gene-SRSF5|SRSF5,2007,1836,1230,350,688,2419
gene-ERH|ERH,1123,147,79,423,3286,3365
gene-DCAF5|DCAF5,29,24,0,21,129,58
gene-GALNT16|GALNT16,0,0,0,0,0,0
gene-LOC128335048|LOC128335048,0,0,0,0,0,0
gene-LOC128335055|LOC128335055,0,0,0,0,0,0
gene-ACTN1|ACTN1,84,147,33,79,123,319
gene-LOC128330292|LOC128330292,0,0,0,0,0,0
gene-LOC128332086|LOC128332086,488,120,121,105,427,1274
gene-ZFP36L1|ZFP36L1,165,660,262,106,804,203
gene-PIGH|PIGH,0,0,0,0,0,0
gene-RDH12|RDH12,0,0,0,0,0,0
gene-ARG2|ARG2,0,0,0,0,0,0
gene-VTI1B|VTI1B,0,0,0,0,0,0
gene-PLEKHH1|PLEKHH1,0,0,0,0,0,0
gene-ZFYVE26|ZFYVE26,0,0,0,0,0,0
gene-EIF2S1|EIF2S1,499,165,112,393,2638,3493
gene-ATP6V1D|ATP6V1D,0,0,0,0,694,482
gene-PALS1|PALS1,13,21,12,8,155,89
gene-LOC128340615|LOC128340615,0,0,0,0,0,0
gene-C1QTNF4|C1QTNF4,12,0,0,45,237,0
gene-NDUFS3|NDUFS3,0,0,0,0,0,0
gene-FUT8|FUT8,38,0,0,0,183,72
gene-LOC128327848|LOC128327848,0,0,0,0,0,0
gene-LOC128327841|LOC128327841,0,0,0,0,0,0
gene-RAPSN|RAPSN,5,0,0,0,0,0
gene-LOC128329602|LOC128329602,0,0,0,0,12,17
gene-PSMC3|PSMC3,175,0,49,62,452,592
gene-SLC39A13|SLC39A13,0,0,0,0,0,0
gene-SPI1|SPI1,2,0,0,0,0,0
gene-KBTBD4|KBTBD4,0,0,0,0,0,0
gene-PTPMT1|PTPMT1,0,0,0,0,0,0
gene-CELF1|CELF1,903,663,411,548,1286,460
gene-MYBPC3|MYBPC3,0,0,0,0,0,0
gene-GPHN|GPHN,1552,247,253,665,962,2783
gene-LOC128340280|LOC128340280,0,0,0,0,0,0
gene-ACP2|ACP2,0,0,0,0,0,0
gene-ARFGAP2|ARFGAP2,0,0,0,0,54,0
gene-PACSIN3|PACSIN3,38,137,117,295,4048,0
gene-MADD|MADD,271,76,73,389,1543,407
gene-CSTPP1|CSTPP1,0,0,0,0,0,0
gene-LOC128327558|LOC128327558,0,0,0,0,0,0
gene-LRP4|LRP4,0,0,0,8,168,0
gene-F2|F2,0,0,0,0,0,0
gene-ZNF408|ZNF408,0,0,0,0,0,3
gene-ARHGAP1|ARHGAP1,0,0,0,0,0,0
gene-CKAP5|CKAP5,235,10,11,230,824,332
gene-LOC128341386|LOC128341386,0,0,0,0,0,0
gene-ATG13|ATG13,0,0,0,0,0,0
gene-LOC128336300|LOC128336300,0,0,0,0,0,0
gene-HARBI1|HARBI1,0,0,0,0,0,0
gene-MDK|MDK,0,0,0,0,0,204
gene-AMBRA1|AMBRA1,161,83,45,473,2019,269
gene-LOC128349439|LOC128349439,0,0,0,0,0,0
gene-LOC128341326|LOC128341326,0,0,0,0,0,0
gene-CREB3L1|CREB3L1,15,0,0,0,7,9
gene-DGKZ|DGKZ,0,268,0,0,125,0
gene-PEX16|PEX16,0,0,0,0,0,0
gene-LOC128340439|LOC128340439,0,0,0,0,0,0
gene-MAPK8IP1|MAPK8IP1,7,0,0,0,78,5
gene-LOC128328970|LOC128328970,0,0,0,0,0,0
gene-CRY2|CRY2,6,0,0,0,0,0
gene-LOC128328976|LOC128328976,0,0,0,0,0,0
gene-SLC35C1|SLC35C1,0,0,0,2,0,0
gene-LOC128340966|LOC128340966,0,0,0,0,0,0
gene-LOC128340965|LOC128340965,0,0,0,0,0,0
