gene_id,SRR21159093,SRR21159098
gene-LOC123344017|LOC123344017,0,72
gene-SYT1|SYT1,8,247
gene-PAWR|PAWR,1543,1024
gene-PPP1R12A|PPP1R12A,756,3202
gene-OTOGL|OTOGL,0,126
gene-LIN7A|LIN7A,42,46
gene-PTPRQ|PTPRQ,19,99
gene-LOC123360998|LOC123360998,10903,1162
gene-CCDC59|CCDC59,265,995
gene-METTL25|METTL25,144,233
gene-LOC123369330|LOC123369330,0,0
gene-SLC6A15|SLC6A15,18,10
gene-TMTC2|TMTC2,45,196
gene-LOC123344207|LOC123344207,8,32
gene-LRRIQ1|LRRIQ1,30,1569
gene-ALX1|ALX1,0,14
gene-PPFIA2|PPFIA2,158,190
gene-ACSS3|ACSS3,2815,161
gene-RASSF9|RASSF9,958,1142
gene-C1H12orf50|C1H12orf50,4,82
gene-C1H12orf29|C1H12orf29,222,782
gene-CEP290|CEP290,86,766
gene-TMTC3|TMTC3,438,1781
gene-LOC123349853|LOC123349853,0,0
gene-LOC123349858|LOC123349858,0,0
gene-KITLG|KITLG,52,338
gene-DUSP6|DUSP6,400,1763
gene-POC1B|POC1B,50,1416
gene-LOC123344294|LOC123344294,203,256
gene-LOC123347709|LOC123347709,0,0
gene-LOC123347323|LOC123347323,15,34
gene-LUM|LUM,37,42
gene-ATP2B1|ATP2B1,251,9065
gene-LOC123344333|LOC123344333,302,181
gene-DCN|DCN,638,422
gene-LOC123361955|LOC123361955,3,39
gene-BTG1|BTG1,10171,760
gene-LOC123370051|LOC123370051,0,116
gene-EEA1|EEA1,2014,1198
gene-LOC123362319|LOC123362319,0,0
gene-CRADD|CRADD,883,349
gene-SOCS2|SOCS2,56,7061
gene-NUDT4|NUDT4,3466,12585
gene-UBE2N|UBE2N,452,6007
gene-MRPL42|MRPL42,780,1562
gene-PLXNC1|PLXNC1,852,83
gene-CEP83|CEP83,363,740
gene-TMCC3|TMCC3,322,1332
gene-NDUFA12|NDUFA12,1406,906
gene-NR2C1|NR2C1,1488,3056
gene-LOC123343369|LOC123343369,34,13
gene-VEZT|VEZT,212,1684
gene-FGD6|FGD6,277,2557
gene-LOC123343443|LOC123343443,0,0
gene-METAP2|METAP2,1101,2186
gene-USP44|USP44,301,947
gene-NTN4|NTN4,120,357
gene-CCDC38|CCDC38,496,257
gene-AMDHD1|AMDHD1,1256,34
gene-LOC123362305|LOC123362305,2,2
gene-SNRPF|SNRPF,342,1524
gene-HAL|HAL,11692,13
gene-LTA4H|LTA4H,3280,2955
gene-ELK3|ELK3,763,138
gene-NEDD1|NEDD1,148,5279
gene-CDK17|CDK17,1002,314
gene-CFAP54|CFAP54,44,316
gene-LOC123357954|LOC123357954,0,0
gene-TRNAW-CCA|TRNAW-CCA,0,0
gene-TMPO|TMPO,925,6047
gene-SLC25A3|SLC25A3,5128,11021
gene-LOC123362296|LOC123362296,4,0
gene-LOC123345088|LOC123345088,209,514
gene-APAF1|APAF1,667,579
gene-ANKS1B|ANKS1B,0,1068
gene-LOC123345161|LOC123345161,4,7
gene-UHRF1BP1L|UHRF1BP1L,2175,3262
gene-LOC123345173|LOC123345173,22,0
gene-SLC17A8|SLC17A8,20,0
gene-DEPDC4|DEPDC4,390,2821
gene-ACTR6|ACTR6,283,588
gene-SCYL2|SCYL2,869,4819
gene-GAS2L3|GAS2L3,22,5668
gene-SLC5A8|SLC5A8,34,3
gene-NR1H4|NR1H4,2694,341
gene-ANO4|ANO4,0,134
gene-UTP20|UTP20,484,3856
gene-ARL1|ARL1,251,2392
gene-NUP205|NUP205,500,3565
gene-LOC123343831|LOC123343831,208,12
gene-CNOT4|CNOT4,750,28844
gene-WDR91|WDR91,991,5352
gene-CYREN|CYREN,281,793
gene-AGBL3|AGBL3,43,165
gene-TMEM140|TMEM140,1562,99
gene-LOC123355390|LOC123355390,7,0
gene-ART4|ART4,12,0
gene-LOC123370487|LOC123370487,0,19
gene-SMCO3|SMCO3,0,6
gene-LOC123368192|LOC123368192,19,27
gene-LOC123367593|LOC123367593,277,98
gene-PDE6H|PDE6H,0,175
gene-ARHGDIB|ARHGDIB,1226,480
gene-ERP27|ERP27,18,8
gene-LOC123345515|LOC123345515,2,7
gene-WBP11|WBP11,2254,13195
gene-LOC123343726|LOC123343726,0,33
gene-LOC123368267|LOC123368267,276,172
gene-LOC123361705|LOC123361705,35,181
gene-LOC123343853|LOC123343853,8,32
gene-LOC123345511|LOC123345511,2,19
gene-LOC123362083|LOC123362083,5,12
gene-LOC123345620|LOC123345620,0,16
gene-LOC123343830|LOC123343830,8,79
gene-LOC123345609|LOC123345609,2,4
gene-LOC123362082|LOC123362082,26,17
gene-LOC123363965|LOC123363965,0,21
gene-LOC123362060|LOC123362060,0,4
gene-LOC123345601|LOC123345601,0,0
gene-LOC123343776|LOC123343776,0,35
gene-LOC123345558|LOC123345558,0,0
gene-LOC123345581|LOC123345581,0,14
gene-LOC123345478|LOC123345478,25,70
gene-LOC123345455|LOC123345455,15,45
gene-LOC123345492|LOC123345492,12,31
gene-LOC123345539|LOC123345539,3,2
gene-LOC123345548|LOC123345548,3,4
gene-LOC123345485|LOC123345485,83,308
gene-LOC123345503|LOC123345503,27,16
gene-LOC123345459|LOC123345459,10,11
gene-LOC123345521|LOC123345521,2,30
gene-LOC123345468|LOC123345468,2,26
gene-LOC123345463|LOC123345463,5,30
gene-LOC123345530|LOC123345530,1,6
gene-LOC123350948|LOC123350948,42,5
gene-LOC123345565|LOC123345565,5,19
gene-LOC123345574|LOC123345574,3,1
gene-APOLD1|APOLD1,18,7
gene-LOC123345657|LOC123345657,0,4
gene-DDX47|DDX47,404,5926
gene-LOC123362109|LOC123362109,2246,28
gene-GPRC5A|GPRC5A,983,44
gene-HEBP1|HEBP1,1178,90
gene-EMP1|EMP1,34,128
gene-FAM234B|FAM234B,494,4934
gene-LOC123359088|LOC123359088,0,33
