gene_id,SRR15315613,SRR15315614,SRR15315615,SRR15315619,SRR15315620,SRR15829334,SRR15829335,SRR15829337,SRR15829338
gene-INO80B|INO80B,1403,1339,801,1369,1603,402,759,605,416
gene-LOC102450112|LOC102450112,1858,1621,1291,2326,1798,146,280,333,201
gene-LOC102451050|LOC102451050,193,46,118,129,129,0,0,0,9
gene-LOC102450355|LOC102450355,125,93,54,123,108,0,25,0,142
gene-LOC106733052|LOC106733052,21,9,14,17,31,14,13,40,10
gene-LOC112544113|LOC112544113,0,0,0,0,0,0,0,0,0
gene-LOC106733098|LOC106733098,20,0,92,24,40,0,0,0,0
gene-LOC102453851|LOC102453851,647,407,382,555,310,3,0,9,6
gene-LOC102451539|LOC102451539,146,0,98,0,123,0,0,4,0
gene-LOC102451691|LOC102451691,133,156,120,194,144,7,8,5,0
gene-LOC112544112|LOC112544112,63,98,23,67,52,474,656,716,645
gene-ARL16|ARL16,309,434,417,420,480,109,132,71,80
gene-LOC102454916|LOC102454916,423,338,236,240,375,421,629,476,412
gene-LOC112544128|LOC112544128,509,358,292,421,374,241,282,537,222
gene-LOC102457393|LOC102457393,5,0,0,0,0,6826,4003,5514,7747
gene-LOC102457151|LOC102457151,272,231,170,50,401,12591,8618,22985,25586
gene-LOC106733102|LOC106733102,38,22,6,18,0,257,605,619,561
gene-LOC102456902|LOC102456902,44,61,19,15,82,3790,4897,9469,21687
gene-LOC102456492|LOC102456492,119,195,49,36,299,3373,3278,7914,6415
gene-OTUD5|OTUD5,306,280,364,504,298,368,416,351,269
gene-LOC102458709|LOC102458709,8,20,19,29,34,0,0,0,0
gene-TIMM10B|TIMM10B,530,586,579,1018,588,230,233,313,158
gene-LOC102459334|LOC102459334,0,10,6,0,0,13,0,0,11
gene-LOC112544171|LOC112544171,0,0,0,0,0,0,0,0,0
gene-LOC102458936|LOC102458936,111,148,104,132,107,1409,614,2764,729
gene-HORMAD1|HORMAD1,36,6,15,61,22,7,0,0,0
gene-GOLPH3L|GOLPH3L,275,160,95,170,208,388,330,429,293
gene-LOC102461102|LOC102461102,99,72,15,6,72,0,0,0,0
gene-ENSA|ENSA,2309,2158,1669,3088,2587,572,533,506,408
gene-MCL1|MCL1,5521,5675,8208,6404,6482,2674,2995,3080,2216
gene-LOC102460470|LOC102460470,27,24,22,13,21,11,0,0,0
gene-ADAMTSL4|ADAMTSL4,310,244,301,260,258,0,16,40,24
gene-LOC102461582|LOC102461582,81,63,48,66,52,11,0,14,11
gene-LOC102461747|LOC102461747,1233,1106,921,1059,1407,102,146,116,210
gene-LOC102462944|LOC102462944,85,28,56,0,0,17,0,0,17
gene-CYHR1|CYHR1,3730,3047,1588,1605,3598,2360,1377,3285,1583
gene-TSFM|TSFM,3322,2977,1925,3664,3284,952,1134,803,597
gene-EEF1AKMT3|EEF1AKMT3,1195,1456,842,1562,1136,1232,1853,683,606
gene-LOC102443605|LOC102443605,0,4,0,0,0,0,0,0,10
gene-METTL1|METTL1,1484,1732,1017,1832,1272,445,693,439,505
gene-MARCH9|MARCH9,528,363,504,746,542,3,13,5,4
gene-LOC106731321|LOC106731321,25,0,9,17,0,0,0,5,0
gene-LOC106731325|LOC106731325,27,19,8,14,25,7,0,7,7
gene-AGAP2|AGAP2,194,85,62,63,112,15,7,41,9
gene-TSPAN31|TSPAN31,968,858,370,685,982,792,1150,1599,1396
gene-LOC102463416|LOC102463416,4,0,0,0,9,14,19,71,20
gene-LOC102444558|LOC102444558,89,127,108,54,42,0,0,0,0
gene-LOC102445016|LOC102445016,728,259,462,366,504,0,0,0,0
gene-LOC102444776|LOC102444776,1008,1403,1075,1513,1079,0,0,0,0
gene-LOC106731327|LOC106731327,2,4,21,0,36,21,6,13,11
gene-FBLIM1|FBLIM1,646,489,669,498,462,94,167,80,123
gene-HSPB7|HSPB7,66,87,42,88,88,0,23,94,0
gene-FAM131C|FAM131C,37,180,77,24,52,0,0,0,0
gene-LOC102446871|LOC102446871,193,119,146,191,84,0,0,0,0
gene-LOC106731338|LOC106731338,40,33,33,20,48,172,100,440,32
gene-LOC102447865|LOC102447865,0,0,0,0,0,0,3,11,8
gene-LOC102447613|LOC102447613,0,0,0,0,0,0,0,0,0
gene-LOC102448364|LOC102448364,38,13,0,9,24,9,0,0,0
gene-LOC102447370|LOC102447370,46,78,132,68,149,519,333,208,199
gene-LOC106731340|LOC106731340,55,56,133,45,109,121,77,57,92
gene-SPEN|SPEN,4588,3333,4712,4104,4985,1265,1305,2296,1457
gene-ZBTB17|ZBTB17,1821,1652,1073,1636,1468,545,735,605,403
gene-LOC106731345|LOC106731345,70,87,128,138,64,8,16,13,9
gene-LOC102448598|LOC102448598,62,67,91,61,96,37,36,62,62
gene-LOC112544230|LOC112544230,222,26,119,151,69,78,48,20,20
gene-LOC102450197|LOC102450197,16,20,0,8,20,0,0,11,13
gene-LOC112544239|LOC112544239,11,11,3,3,8,1,0,2,5
gene-LOC102448993|LOC102448993,1467,1401,1058,1217,1783,1260,2158,739,1184
gene-LOC102449234|LOC102449234,753,560,751,774,789,367,371,386,336
gene-TRNAT-UGU|TRNAT-UGU,0,0,0,0,0,0,0,0,0
gene-LOC112543496|LOC112543496,588,569,436,429,563,525,295,437,458
gene-TRNAI-AAU|TRNAI-AAU,0,0,0,0,0,0,0,1,0
gene-LOC102449960|LOC102449960,4029,3303,3561,4715,4009,1061,1059,1063,979
gene-LOC102449714|LOC102449714,792,785,611,615,541,221,80,375,323
gene-LOC106731348|LOC106731348,19,97,0,15,0,57,18,15,33
gene-LOC102449473|LOC102449473,1710,1522,1410,2679,1630,1186,952,1136,905
gene-LOC112544271|LOC112544271,30,20,44,38,13,945,385,125,332
gene-LOC102456567|LOC102456567,2308,2168,1916,3040,2828,1347,1120,1019,802
gene-HSD11B1L|HSD11B1L,200,277,121,165,231,25,28,34,37
gene-LOC102456979|LOC102456979,1415,131,2767,279,1590,22,46,55,0
gene-CUNH19orf70|CUNH19orf70,1728,1373,1263,2263,1613,728,916,739,1007
gene-LOC102461827|LOC102461827,29,4,11,21,29,0,3,0,0
gene-LOC102458225|LOC102458225,4,0,0,4,0,0,0,0,0
gene-LOC102462537|LOC102462537,41,26,8,9,17,0,0,0,0
gene-LOC102462778|LOC102462778,17,8,11,11,0,0,0,0,0
gene-LOC102457986|LOC102457986,13566,10188,12458,16562,13220,1801,1931,2936,1997
gene-LOC102462048|LOC102462048,11415,9341,9081,14917,11446,2205,2688,2957,2641
gene-PTPRS|PTPRS,7471,6747,5479,5414,8629,360,293,1016,263
gene-KDM4B|KDM4B,2283,2015,2294,1377,2454,1693,1111,1549,1791
gene-LOC102459979|LOC102459979,656,834,575,781,1068,712,861,1779,1123
gene-TICAM1|TICAM1,276,279,290,355,340,939,1354,2206,835
gene-UHRF1|UHRF1,3687,4472,4101,5953,6783,17,13,18,15
gene-ARRDC5|ARRDC5,296,224,208,286,247,80,212,177,127
gene-LOC112544290|LOC112544290,4,10,0,0,0,0,0,0,3
gene-FEM1A|FEM1A,6842,6743,3989,5456,6779,1763,1998,2543,2190
gene-DPP9|DPP9,1934,1837,1390,1840,2117,1040,859,1280,1065
gene-LOC102463027|LOC102463027,42,30,87,30,38,82,81,388,92
gene-LOC112544295|LOC112544295,49,40,48,58,47,11,21,34,14
gene-MYDGF|MYDGF,5130,4945,3560,4773,4605,3217,3848,2094,2399
gene-TNFAIP8L1|TNFAIP8L1,865,951,635,941,916,76,52,101,16
gene-SEMA6B|SEMA6B,173,65,85,61,215,24,16,89,35
gene-CSTB|CSTB,1601,2270,1612,2806,2484,294,379,323,258
gene-LOC112544313|LOC112544313,77,44,55,192,95,17,0,18,8
gene-TOP3B|TOP3B,2910,2536,1980,7340,5872,515,445,1095,445
gene-LOC102445756|LOC102445756,20,14,19,41,46,8,0,0,0
gene-KIF18B|KIF18B,152,134,295,145,172,0,0,0,0
gene-FAM187A|FAM187A,5,24,0,24,15,0,0,0,0
gene-YDJC|YDJC,197,192,156,514,403,24,18,43,10
gene-UBE2L3|UBE2L3,4458,4420,3505,11112,10775,585,615,1230,522
gene-CCDC103|CCDC103,1229,641,633,906,944,0,4,5,0
gene-LOC106731395|LOC106731395,0,0,0,0,0,0,0,4,0
gene-FAM20A|FAM20A,289,296,126,127,306,20212,22213,9080,16269
gene-EFTUD2|EFTUD2,5273,4730,3214,3626,8258,3085,1964,3235,2649
gene-PRKAR1A|PRKAR1A,13169,11739,13139,12050,15021,2008,2028,2894,1811
gene-ARSG|ARSG,790,535,514,575,555,431,457,568,657
gene-SLC16A6|SLC16A6,1995,1453,5905,1627,1920,313,501,342,500
gene-WIPI1|WIPI1,168,178,212,130,96,781,583,692,462
gene-AMZ2|AMZ2,197,154,167,219,237,67,91,92,141
gene-GNA13|GNA13,1117,1010,648,517,1690,167,93,260,177
gene-RGS9|RGS9,206,109,49,81,67,141,105,275,212
gene-AXIN2|AXIN2,1837,2215,2302,2010,2555,247,200,322,300
gene-APOH|APOH,670,406,181,105,682,12008,15166,29778,24614
gene-LOC112544367|LOC112544367,18,21,12,28,5,25,0,13,10
gene-CEP112|CEP112,971,700,1514,1288,1286,155,154,288,123
gene-CACNG5|CACNG5,909,524,566,679,643,0,0,0,0
gene-PRKCA|PRKCA,78,100,135,61,133,68,26,79,30
gene-CACNG4|CACNG4,601,450,348,510,610,0,0,4,0
gene-CACNG1|CACNG1,1164,1281,936,1733,1393,0,0,0,0
gene-HELZ|HELZ,1336,1092,1286,1143,2125,1116,683,917,1706
gene-PSMD12|PSMD12,7803,7135,7709,11004,9504,1631,1348,1688,1184
gene-PITPNC1|PITPNC1,1779,1097,999,1045,1223,47,23,80,35
gene-LOC112544436|LOC112544436,0,0,0,0,0,0,0,0,0
gene-NOL11|NOL11,1753,1778,1912,2282,1933,397,371,478,352
gene-CUNH17orf58|CUNH17orf58,70,116,77,98,174,0,0,6,0
gene-TRNAR-CCG-2|TRNAR-CCG,0,0,0,0,0,0,0,1,0
gene-BPTF|BPTF,3457,3262,3560,4019,4526,701,676,629,443
gene-KPNA2|KPNA2,14233,14839,12274,18674,18998,318,305,317,337
gene-CEP95|CEP95,1730,1067,1163,1636,1358,196,225,257,271
gene-SMURF2|SMURF2,3447,2328,3007,3293,2923,749,1012,1211,913
gene-LOC112544425|LOC112544425,274,224,198,252,296,71,60,108,85
gene-LOC112544468|LOC112544468,3,0,0,0,0,0,0,0,3
gene-MILR1|MILR1,36,48,56,80,22,19,15,21,18
gene-POLG2|POLG2,549,500,665,686,482,89,116,74,80
gene-LOC102461104|LOC102461104,100,715,65,47,24,4,2,9,4
gene-LOC102460371|LOC102460371,150,244,127,166,288,11,31,42,28
gene-LOC102461584|LOC102461584,1028,1163,1012,1566,1246,356,465,349,232
gene-RAB33B|RAB33B,392,341,230,282,486,113,39,115,76
gene-NAA15|NAA15,3877,3730,3606,5117,5294,456,399,426,336
gene-LOC106731440|LOC106731440,490,591,498,787,515,81,153,134,55
gene-D2HGDH|D2HGDH,1028,644,140,1259,852,1039,389,1271,747
gene-GAL3ST2|GAL3ST2,108,47,0,55,66,32,0,39,0
gene-ING5|ING5,612,488,374,371,681,643,425,600,506
gene-DTYMK|DTYMK,1881,2195,1963,3012,2631,431,965,628,579
gene-DDX5|DDX5,107828,85480,91342,123312,97995,7136,7041,9723,6001
gene-ATG4B|ATG4B,1574,1434,912,1154,1690,579,625,495,434
gene-THAP4|THAP4,799,617,483,992,861,477,547,476,339
gene-BOK|BOK,954,830,605,899,987,149,363,1125,588
gene-FARP2|FARP2,2304,1702,1562,1736,1981,663,657,730,679
gene-STK25|STK25,6549,6074,5208,7023,6165,2073,2528,2840,2950
gene-SEPT2|SEPT2,24902,23287,21209,22025,29024,1661,1444,2144,1518
gene-HDLBP|HDLBP,11141,11201,6671,7962,13659,14147,11950,11221,10301
gene-LOC102447615|LOC102447615,15,7,5,9,15,2,67,123,61
gene-LOC102445925|LOC102445925,6695,6510,5815,9307,7001,2694,4467,2761,3098
gene-LOC102448600|LOC102448600,1032,1003,1278,1324,1172,526,816,696,641
gene-LOC106731456|LOC106731456,0,0,0,0,15,0,0,0,0
gene-LOC102447119|LOC102447119,61,49,23,21,74,0,12,7,13
gene-ITGAL|ITGAL,73,122,90,88,69,344,332,1069,491
gene-LOC102449475|LOC102449475,0,0,0,0,0,0,0,0,0
gene-MAP3K8|MAP3K8,45,29,83,126,65,371,237,398,198
gene-MTPAP|MTPAP,1754,1554,1219,2611,1838,437,466,462,277
gene-JCAD|JCAD,878,965,965,977,1381,467,755,1089,1124
gene-LOC112544527|LOC112544527,0,0,0,0,0,0,0,0,0
gene-ZNF438|ZNF438,73,22,59,117,92,0,0,0,0
