gene_id,SRR11050679,SRR11647816,SRR11647817
gene-TTBK1|TTBK1,1101,0,4
gene-LOC121927769|LOC121927769,5555,0,103
gene-TTC7A|TTC7A,158,17,130
gene-MCFD2|MCFD2,3195,14,199
gene-SOCS5|SOCS5,2631,0,30
gene-LOC121928612|LOC121928612,2,0,0
gene-CALM2|CALM2,46323,7,96
gene-STPG4|STPG4,89,0,0
gene-LOC121920008|LOC121920008,1582,0,16
gene-CRIPT|CRIPT,2572,0,18
gene-PIGF|PIGF,636,0,17
gene-RHOQ|RHOQ,813,0,11
gene-EPAS1|EPAS1,1052,19,182
gene-LOC121928811|LOC121928811,423,0,0
gene-LOC121930493|LOC121930493,657,0,0
gene-LOC121920786|LOC121920786,12,0,0
gene-LOC121920790|LOC121920790,5,0,0
gene-LOC121919779|LOC121919779,0,0,0
gene-SIX2|SIX2,8,0,0
gene-PRKCE|PRKCE,253,4,38
gene-LOC121924443|LOC121924443,115,0,0
gene-SRBD1|SRBD1,1271,0,40
gene-LOC121929638|LOC121929638,47,0,0
gene-ABCG8|ABCG8,5,0,0
gene-CAMKMT|CAMKMT,1076,0,18
gene-LOC121925898|LOC121925898,15,0,0
gene-PREPL|PREPL,2603,0,5
gene-SLC3A1|SLC3A1,105,0,0
gene-PPM1B|PPM1B,10634,15,183
gene-LOC121919378|LOC121919378,43,0,47
gene-LRPPRC|LRPPRC,6304,38,218
gene-DYNC2LI1|DYNC2LI1,4185,0,12
gene-PLEKHH2|PLEKHH2,1573,0,55
gene-LOC121935156|LOC121935156,4,0,0
gene-THADA|THADA,1403,0,33
gene-ZFP36L2|ZFP36L2,2902,20,231
gene-LOC121932257|LOC121932257,0,0,0
gene-TRNAI-UAU|TRNAI-UAU,2,0,0
gene-HAAO|HAAO,11,57,551
gene-LOC121928922|LOC121928922,30,0,0
gene-MTA3|MTA3,3740,0,32
gene-LOC121919121|LOC121919121,622,4,84
gene-LOC121935647|LOC121935647,57,0,1
gene-LOC121919621|LOC121919621,354,0,2
gene-PKDCC|PKDCC,336,0,17
gene-EML4|EML4,2464,6,108
gene-BICRAL|BICRAL,5682,0,68
gene-TBCC|TBCC,472,3,13
gene-PRPH2|PRPH2,130,0,0
gene-UBR2|UBR2,1392,0,99
gene-TRERF1|TRERF1,2555,0,39
gene-MRPS10|MRPS10,1600,0,24
gene-LOC121930937|LOC121930937,612,0,17
gene-UTP25|UTP25,1071,0,20
gene-SERTAD4|SERTAD4,22,0,0
gene-SYT14|SYT14,1112,0,33
gene-HHAT|HHAT,125,0,0
gene-KCNH1|KCNH1,416,0,0
gene-TRAF5|TRAF5,131,0,0
gene-RCOR3|RCOR3,5517,18,142
gene-LOC121919865|LOC121919865,1476,0,8
gene-RD3|RD3,768,0,0
gene-SLC30A1|SLC30A1,1428,6,199
gene-LOC121919248|LOC121919248,35,0,5
gene-NEK2|NEK2,3575,8,68
gene-LPGAT1|LPGAT1,1308,10,243
gene-INTS7|INTS7,2433,0,16
gene-DTL|DTL,1918,0,0
gene-BATF3|BATF3,14,0,0
gene-ATF3|ATF3,221,0,17
gene-PACC1|PACC1,528,0,33
gene-PPP2R5A|PPP2R5A,4068,0,119
gene-NENF|NENF,732,0,23
gene-SPATA45|SPATA45,149,0,0
gene-FLVCR1|FLVCR1,324,0,8
gene-NSL1|NSL1,2292,0,16
gene-TATDN3|TATDN3,1311,0,5
gene-VASH2|VASH2,583,0,0
gene-ANGEL2|ANGEL2,852,0,15
gene-KTI12|KTI12,428,0,26
gene-PROX1|PROX1,42,24,392
gene-RPS6KC1|RPS6KC1,3432,0,80
gene-SMYD2|SMYD2,293,0,51
gene-PTPN14|PTPN14,1576,0,30
gene-LOC121919162|LOC121919162,7,0,0
gene-CENPF|CENPF,4603,0,22
gene-KCNK2|KCNK2,79,0,0
gene-LOC121919490|LOC121919490,0,0,0
gene-LOC121918282|LOC121918282,18,0,0
gene-KCTD3|KCTD3,6124,0,26
gene-USH2A|USH2A,622,0,0
gene-LOC121934873|LOC121934873,101,0,0
gene-ESRRG|ESRRG,169,0,0
gene-LOC121918917|LOC121918917,6,0,0
gene-LOC121918978|LOC121918978,105,0,3
gene-GPATCH2|GPATCH2,1920,0,19
gene-SPATA17|SPATA17,3177,0,0
gene-TGFB2|TGFB2,118,0,14
gene-RRP15|RRP15,4548,0,16
gene-LYPLAL1|LYPLAL1,783,0,0
gene-SLC30A10|SLC30A10,133,0,0
gene-EPRS1|EPRS1,7145,43,261
gene-BPNT1|BPNT1,3471,22,108
gene-IARS2|IARS2,4560,10,104
gene-RAB3GAP2|RAB3GAP2,1431,10,85
gene-MARK1|MARK1,2873,0,64
gene-C1H1orf115|C1H1orf115,204,10,187
gene-PFN3|PFN3,1662,0,10
gene-LOC121935538|LOC121935538,758,0,177
gene-HLX|HLX,9,0,25
gene-LOC121924124|LOC121924124,3681,109,614
gene-DUSP10|DUSP10,265,0,6
gene-LOC121928356|LOC121928356,1924,0,8
gene-MIA3|MIA3,2552,10,176
gene-LOC121921267|LOC121921267,13,0,2
gene-FAM177B|FAM177B,39,0,0
gene-LOC121929673|LOC121929673,10,0,7
gene-DISP1|DISP1,273,0,71
gene-TLR5|TLR5,24,0,29
gene-CAPN8|CAPN8,29,0,0
gene-SUSD4|SUSD4,15,0,0
gene-CAPN2|CAPN2,163,0,11
gene-AIDA|AIDA,7028,0,44
gene-BROX|BROX,1813,0,19
gene-CNIH3|CNIH3,38,0,0
gene-FBXO28|FBXO28,6819,0,35
gene-DEGS1|DEGS1,3339,14,81
gene-NVL|NVL,8948,13,125
gene-CNIH4|CNIH4,1403,0,0
gene-WDR26|WDR26,6685,0,104
gene-DNAH14|DNAH14,3525,0,0
gene-LBR|LBR,3430,0,50
gene-ENAH|ENAH,6610,5,41
gene-LOC121915394|LOC121915394,9,0,4
gene-EPHX1|EPHX1,41,0,81
gene-SRP9|SRP9,3795,3,12
gene-LOC121915855|LOC121915855,218,0,0
gene-TMEM63A|TMEM63A,1572,0,41
gene-SDE2|SDE2,2105,0,9
gene-LOC121935385|LOC121935385,4208,0,72
gene-STUM|STUM,29,0,0
gene-ITPKB|ITPKB,576,0,25
gene-LOC121919015|LOC121919015,226,0,0
gene-PSEN2|PSEN2,309,0,40
gene-ACBD3|ACBD3,4499,0,67
gene-LIN9|LIN9,3125,0,8
gene-PARP1|PARP1,11586,0,50
gene-COQ8A|COQ8A,4829,16,160
gene-LOC121924212|LOC121924212,0,20,169
gene-XDH|XDH,155,0,32
gene-EHD3|EHD3,28,0,0
gene-CAPN14|CAPN14,14,0,0
gene-CDC42BPA|CDC42BPA,3874,0,54
gene-GALNT14|GALNT14,100,0,154
gene-LOC121914800|LOC121914800,0,0,0
gene-CAPN13|CAPN13,3,0,0
gene-LCLAT1|LCLAT1,7340,23,135
gene-LOC121920071|LOC121920071,0,0,0
gene-LBH|LBH,2570,0,13
gene-LOC121919465|LOC121919465,6,0,0
gene-YPEL5|YPEL5,7623,13,101
gene-LOC121919503|LOC121919503,0,0,0
gene-LOC121919497|LOC121919497,0,0,0
gene-LOC121919379|LOC121919379,35,0,0
gene-PCARE|PCARE,3,0,0
gene-CLIP4|CLIP4,703,0,0
gene-TOGARAM2|TOGARAM2,237,0,0
gene-LOC121920136|LOC121920136,0,0,0
gene-WDR43|WDR43,6750,0,66
gene-LOC121920137|LOC121920137,1,0,0
gene-LOC121920135|LOC121920135,1,0,0
gene-TRMT61B|TRMT61B,2836,0,29
gene-SPDYA|SPDYA,719,0,0
gene-PPP1CB|PPP1CB,11768,10,188
gene-FOSL2|FOSL2,140,0,104
gene-PLB1|PLB1,49,0,0
gene-TRNASTOP-UCA|TRNASTOP-UCA,2,0,0
gene-LOC121919511|LOC121919511,96,0,18
gene-LOC121919458|LOC121919458,0,0,0
gene-BABAM2|BABAM2,3066,9,30
gene-RBKS|RBKS,1125,0,17
gene-MRPL33|MRPL33,856,0,8
gene-LOC121924914|LOC121924914,3783,0,29
gene-SUPT7L|SUPT7L,2732,0,53
