gene_id,SRR8754967,SRR8754969,SRR8754971,SRR8754979
gene-TMEM41A|TMEM41A,62,188,172,367
gene-SENP2|SENP2,236,609,776,1830
gene-IGF2BP2|IGF2BP2,320,234,189,7287
gene-TRA2B|TRA2B,658,2097,1675,3698
gene-DGKG|DGKG,0,0,30,144
gene-ETV5|ETV5,392,647,715,782
gene-PTTG1IP|PTTG1IP,289,693,277,2865
gene-LOC113427263|LOC113427263,170,653,444,4662
gene-UBE2G2|UBE2G2,362,760,497,1640
gene-LRRC3|LRRC3,35,34,26,44
gene-CFAP410|CFAP410,58,233,176,2288
gene-PFKL|PFKL,225,564,404,5362
gene-TBCCD1|TBCCD1,61,192,210,7036
gene-DZIP1L|DZIP1L,0,56,89,382
gene-LOC113427990|LOC113427990,62,198,46,81
gene-DNAJB11|DNAJB11,1325,1512,839,6094
gene-KY|KY,0,0,0,7
gene-ANAPC13|ANAPC13,40,160,354,245
gene-CEP63|CEP63,53,129,117,1132
gene-AMOTL2|AMOTL2,154,1715,728,1657
gene-RYK|RYK,281,835,970,3726
gene-EPHB1|EPHB1,23,227,157,3564
gene-RAB6B|RAB6B,41,683,419,918
gene-SLCO2A1|SLCO2A1,214,338,183,24
gene-SRPRB|SRPRB,150,588,301,936
gene-TF|TF,51996,28377,363,476
gene-PAK2|PAK2,176,647,531,1222
gene-PIGX|PIGX,83,244,201,341
gene-CEP19|CEP19,14,66,85,258
gene-NRROS|NRROS,30,417,57,310
gene-SMCO1|SMCO1,0,0,10,14
gene-WDR53|WDR53,63,141,95,1658
gene-FBXO45|FBXO45,89,182,210,1525
gene-RNF168|RNF168,70,285,216,5489
gene-TM4SF19|TM4SF19,0,856,0,33
gene-UBXN7|UBXN7,69,156,180,506
gene-GAL3ST2|GAL3ST2,0,0,0,0
gene-NEU4|NEU4,3,186,0,8
gene-D2HGDH|D2HGDH,460,565,521,668
gene-DTYMK|DTYMK,24,61,72,513
gene-ING5|ING5,154,218,248,268
gene-SEPT2|SEPT2,133,691,901,1385
gene-ATG4B|ATG4B,332,532,593,5554
gene-BOK|BOK,76,294,185,3866
gene-STK25|STK25,232,696,739,6219
gene-FARP2|FARP2,138,961,407,1782
gene-THAP4|THAP4,485,563,550,4057
gene-PASK|PASK,0,0,65,96
gene-MTERF4|MTERF4,94,232,118,777
gene-SNED1|SNED1,35,339,1030,559
gene-MAB21L4|MAB21L4,0,0,29,40
gene-CROCC2|CROCC2,0,46,69,556
gene-HDLBP|HDLBP,14760,18642,10287,56835
gene-ANO7|ANO7,81,0,12,22
gene-PPP1R7|PPP1R7,216,627,511,2159
gene-ADIPOQ|ADIPOQ,0,0,0,0
gene-COPS9|COPS9,43,159,125,319
gene-LOC113432828|LOC113432828,8,161,7418,650
gene-ST6GAL1|ST6GAL1,16,99,46,79
gene-LOC113432816|LOC113432816,20,314,761,897
gene-LOC113432869|LOC113432869,0,56,174,213
gene-LOC113432857|LOC113432857,0,11,73,101
gene-CAB39|CAB39,268,564,601,3398
gene-PER2|PER2,9,64,232,328
gene-LOC113409746|LOC113409746,0,0,0,0
gene-FOXL2|FOXL2,2,51,12,442
gene-PIK3CB|PIK3CB,220,846,570,1311
gene-MRI1|MRI1,104,143,80,284
gene-MRPS22|MRPS22,103,207,178,1834
gene-COPB2|COPB2,1255,2503,1565,8608
gene-SPSB4|SPSB4,0,236,259,317
gene-SLC25A36|SLC25A36,26,303,444,1169
gene-CLSTN2|CLSTN2,0,15,0,1850
gene-PXYLP1|PXYLP1,123,106,158,325
gene-SGPP2|SGPP2,10,28,21,34
gene-EPHA4|EPHA4,0,78,78,84
gene-FARSB|FARSB,181,585,424,1737
gene-KCNE4|KCNE4,13,97,27,99
gene-ACSL3|ACSL3,530,2311,367,1884
gene-AP1S3|AP1S3,101,0,17,18
gene-WDFY1|WDFY1,124,753,424,7565
gene-FAM124B|FAM124B,8,49,51,1058
gene-SERPINE2|SERPINE2,61,4995,1387,8649
gene-CUL3|CUL3,633,1733,1378,7767
gene-DOCK10|DOCK10,28,175,69,78
gene-IRS1|IRS1,11,854,416,125
gene-RHBDD1|RHBDD1,129,291,238,2052
gene-COL4A4|COL4A4,0,385,0,1175
gene-SLC19A3|SLC19A3,10,0,21,5
gene-AGFG1|AGFG1,148,643,335,4084
