gene_id,SRR11524053,SRR11524076
gene-CCDC172|CCDC172,28,0
gene-LOC120304244|LOC120304244,6,6
gene-LOC120304281|LOC120304281,0,0
gene-LOC120304253|LOC120304253,3,7
gene-LOC120299849|LOC120299849,15,20
gene-LOC120299963|LOC120299963,0,12
gene-LOC120300167|LOC120300167,0,13
gene-LOC120300015|LOC120300015,4,14
gene-LOC120300108|LOC120300108,136,66
gene-VPS39|VPS39,1342,533
gene-GANC|GANC,306,122
gene-TMEM87A|TMEM87A,1031,1560
gene-CAPN3|CAPN3,25,16
gene-ZNF106|ZNF106,1597,612
gene-SNAP23|SNAP23,765,802
gene-LRRC57|LRRC57,542,275
gene-HAUS2|HAUS2,160,50
gene-TTBK2|TTBK2,714,129
gene-STARD9|STARD9,1177,177
gene-CDAN1|CDAN1,574,122
gene-LOC120301479|LOC120301479,133,31
gene-TMEM62|TMEM62,190,76
gene-LOC120301865|LOC120301865,40,15
gene-UBR1|UBR1,2101,596
gene-PTGR2|PTGR2,805,224
gene-MIDEAS|MIDEAS,764,398
gene-DNAL1|DNAL1,1300,583
gene-LOC120302447|LOC120302447,543,68
gene-LOC120302498|LOC120302498,514,124
gene-HEATR4|HEATR4,35,39
gene-RIOX1|RIOX1,303,68
gene-NUMB|NUMB,764,329
gene-PAPLN|PAPLN,669,389
gene-PSEN1|PSEN1,1011,344
gene-RBM25|RBM25,2958,628
gene-ZFYVE1|ZFYVE1,851,327
gene-DCAF4|DCAF4,642,120
gene-RGS6|RGS6,36,18
gene-DPF3|DPF3,4712,421
gene-SIPA1L1|SIPA1L1,1668,866
gene-MAP3K9|MAP3K9,124,72
gene-TTC9|TTC9,22,25
gene-PCNX1|PCNX1,2217,717
gene-MED6|MED6,397,101
gene-LOC120304138|LOC120304138,35,21
gene-LOC120304268|LOC120304268,5,16
gene-LOC120304163|LOC120304163,813,316
gene-LOC120304158|LOC120304158,23,9
gene-LOC120304278|LOC120304278,51,16
gene-LOC120304170|LOC120304170,328,63
gene-SLC8A3|SLC8A3,10,36
gene-SMOC1|SMOC1,56,6
gene-LOC120304296|LOC120304296,177,39
gene-LOC120304291|LOC120304291,22,0
gene-CUNH10orf143|CUNH10orf143,247,74
gene-EBF3|EBF3,49,16
gene-LOC120304324|LOC120304324,0,0
gene-LOC120305209|LOC120305209,1,0
gene-GLRX3|GLRX3,1035,342
gene-MYCN|MYCN,274,24
gene-NBAS|NBAS,654,593
gene-DDX1|DDX1,1520,430
gene-LOC120305135|LOC120305135,2,0
gene-CYRIA|CYRIA,408,171
gene-LOC120304428|LOC120304428,19,0
gene-CUNH8orf34|CUNH8orf34,9,129
gene-CSPP1|CSPP1,470,362
gene-PPP1R42|PPP1R42,53,22
gene-COPS5|COPS5,865,102
