gene_id,SRR28919955,SRR28919960,SRR28919961,SRR28919962,SRR28919963,SRR28919964
gene-CSTPP1|CSTPP1,293,0,0,0,0,0
gene-LRP4|LRP4,120,40,41,270,1589,108
gene-F2|F2,0,2360,1222,0,0,0
gene-ZNF408|ZNF408,0,0,0,5,37,83
gene-ARHGAP1|ARHGAP1,196,224,118,252,730,229
gene-LOC136652700|LOC136652700,0,0,0,0,0,0
gene-CKAP5|CKAP5,1782,146,81,1619,4352,1774
gene-LOC136638418|LOC136638418,1,0,0,0,0,0
gene-HARBI1|HARBI1,55,0,11,53,67,36
gene-ATG13|ATG13,559,200,244,219,337,821
gene-CHRM4|CHRM4,4,0,0,4,0,2
gene-AMBRA1|AMBRA1,568,231,173,1689,6185,763
gene-LOC136638033|LOC136638033,0,0,0,0,0,0
gene-MDK|MDK,569,39,16,73,102,384
gene-CREB3L1|CREB3L1,51,5,0,15,30,29
gene-DGKZ|DGKZ,197,1440,522,255,635,64
gene-LOC136637807|LOC136637807,0,0,0,0,0,0
gene-LARGE2|LARGE2,114,54,27,5,0,69
gene-PEX16|PEX16,136,64,68,120,357,185
gene-MAPK8IP1|MAPK8IP1,36,4,0,42,289,35
gene-PHF21A|PHF21A,1759,179,90,2497,15412,7477
gene-SLC35C1|SLC35C1,0,0,0,54,0,0
gene-CRY2|CRY2,190,69,67,107,451,0
gene-CHST1|CHST1,3,0,0,95,621,2
gene-LOC136655453|LOC136655453,0,0,0,0,0,0
gene-SYT13|SYT13,0,0,0,0,0,4
gene-PRDM11|PRDM11,75,127,91,43,90,149
gene-TP53I11|TP53I11,0,0,48,0,28,0
gene-CD82|CD82,43,121,113,134,437,28
gene-C1H11orf96|C1H11orf96,1,0,0,1,1,1
gene-LOC136658371|LOC136658371,58,54,73,0,0,0
gene-TSPAN18|TSPAN18,43,0,0,17,27,48
gene-LOC136637903|LOC136637903,0,0,0,0,0,0
gene-LOC136637319|LOC136637319,0,0,0,0,0,0
gene-LOC136656370|LOC136656370,23,0,0,0,6,96
gene-LOC136637374|LOC136637374,0,0,0,0,0,0
gene-EXT2|EXT2,85,85,70,28,44,76
gene-ALKBH3|ALKBH3,67,0,0,227,501,67
gene-HSD17B12|HSD17B12,21,0,0,0,33,0
gene-TTC17|TTC17,1313,243,225,1206,6170,1698
gene-API5|API5,740,216,140,634,2141,2313
gene-RAG2|RAG2,5,0,0,0,0,4
gene-LOC136638233|LOC136638233,0,0,0,0,0,0
gene-LRRC4C|LRRC4C,38,0,0,16,4,82
gene-TRAF6|TRAF6,23,22,21,109,148,17
gene-COMMD9|COMMD9,43,50,18,159,361,28
gene-PRR5L|PRR5L,0,0,0,0,0,0
gene-TRIM44|TRIM44,9,11,4,8,127,0
gene-SLC1A2|SLC1A2,0,0,0,0,0,6
gene-LOC136638441|LOC136638441,0,0,0,0,0,0
gene-LDLRAD3|LDLRAD3,3,0,0,0,23,12
gene-PAMR1|PAMR1,136,82,43,20,11,30
gene-CD44|CD44,40,0,0,0,0,0
gene-EHF|EHF,9,0,0,928,5790,71
gene-PDHX|PDHX,52,0,0,47,80,37
gene-APIP|APIP,36,64,52,9,0,45
gene-CAT|CAT,495,18299,6883,239,101,122
