gene-RPAP1|RPAP1,612,8181,1264
gene-LOC128339694|LOC128339694,0,18,0
gene-TYRO3|TYRO3,61,350,33
gene-LOC128339683|LOC128339683,121,2756,178
gene-LOC128333058|LOC128333058,460,3420,846
gene-LOC128333080|LOC128333080,0,0,0
gene-MAPKBP1|MAPKBP1,226,1687,287
gene-JMJD7|JMJD7,251,1058,337
gene-LOC128339326|LOC128339326,851,1282,1016
gene-LOC128339324|LOC128339324,0,31,27
gene-EHD4|EHD4,209,4244,219
gene-LOC128340805|LOC128340805,0,158,0
gene-LOC128340808|LOC128340808,4,73,4
gene-LOC128340806|LOC128340806,4,163,20
gene-PLA2G4F|PLA2G4F,546,452,802
gene-GANC|GANC,166,1281,191
gene-LOC128340578|LOC128340578,0,0,5
gene-CAPN3|CAPN3,158,196,225
gene-LOC128340140|LOC128340140,0,0,11
gene-VPS39|VPS39,687,2961,1007
gene-TMEM87A|TMEM87A,1406,392,2168
gene-LOC128335579|LOC128335579,16,7,3
gene-ZNF106|ZNF106,1137,11318,1318
gene-LOC128340918|LOC128340918,0,0,0
gene-SNAP23|SNAP23,1185,12166,1599
gene-LRRC57|LRRC57,545,28917,952
gene-HAUS2|HAUS2,489,6919,422
gene-STARD9|STARD9,76,1197,60
gene-LOC128340605|LOC128340605,0,0,0
gene-CDAN1|CDAN1,578,7950,889
gene-LOC128340603|LOC128340603,76,2074,82
